	transcript	row	log2FoldChange	padj	protein_accession	sequence_identity	alignment_length	evalue	database	gene	locus_name	sequence_description	sequence_length	organism	protein_product
37					A0A803JSK4	29.0	124	1.22e-13	TrEMBL		A0A803JSK4_XENTR	tr|A0A803JSK4|A0A803JSK4_XENTR Reverse transcriptase domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	639	Xenopus tropicalis	Reverse transcriptase domain-containing protein
38					XP_041420361.1	33.3	120	1.23e-13	Nr			XP_041420361.1 uncharacterized protein LOC121394191 [Xenopus laevis]	613	Xenopus laevis	uncharacterized protein LOC121394191
39					A0A8C5MMS5	30.1	143	1.23e-13	TrEMBL		A0A8C5MMS5_9ANUR	tr|A0A8C5MMS5|A0A8C5MMS5_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	664	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
40					A0A803J844	29.0	124	1.23e-13	TrEMBL		A0A803J844_XENTR	tr|A0A803J844|A0A803J844_XENTR Reverse transcriptase domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	673	Xenopus tropicalis	Reverse transcriptase domain-containing protein
41					A0A6P6MRC2	33.3	126	1.63e-13	TrEMBL	LOC113069710	A0A6P6MRC2_CARAU	tr|A0A6P6MRC2|A0A6P6MRC2_CARAU uncharacterized protein LOC113069710 OS=Carassius auratus OX=7957 GN=LOC113069710 PE=4 SV=1	581	Carassius auratus	uncharacterized protein LOC113069710
42					A0A2I4DBU1	28.5	151	2.74e-13	TrEMBL	LOC106536907	A0A2I4DBU1_9TELE	tr|A0A2I4DBU1|A0A2I4DBU1_9TELE uncharacterized protein LOC106536907 OS=Austrofundulus limnaeus OX=52670 GN=LOC106536907 PE=4 SV=1	448	Austrofundulus limnaeus	uncharacterized protein LOC106536907
43					A0A8C5PYY2	31.2	138	2.86e-13	TrEMBL		A0A8C5PYY2_9ANUR	tr|A0A8C5PYY2|A0A8C5PYY2_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	483	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
44					XP_052468100.1	33.3	126	3.52e-13	Nr			XP_052468100.1 uncharacterized protein LOC128025655 [Carassius gibelio]	417	Carassius gibelio	uncharacterized protein LOC128025655
45					XP_026098621.1	33.3	126	4.19e-13	Nr			XP_026098621.1 uncharacterized protein LOC113069710 [Carassius auratus]	581	Carassius auratus	uncharacterized protein LOC113069710
46					XP_013889702.1	28.5	151	7.03e-13	Nr			XP_013889702.1 PREDICTED: uncharacterized protein LOC106536907, partial [Austrofundulus limnaeus]	448	Austrofundulus limnaeus	PREDICTED: uncharacterized protein LOC106536907, partial
47					XP_013868522.1	28.5	151	1.14e-12	Nr			XP_013868522.1 PREDICTED: uncharacterized protein LOC106520812, partial [Austrofundulus limnaeus]	392	Austrofundulus limnaeus	PREDICTED: uncharacterized protein LOC106520812, partial
48					XP_040272050.1	29.7	145	1.21e-12	Nr			XP_040272050.1 uncharacterized protein LOC120988574 [Bufo bufo]	243	Bufo bufo	uncharacterized protein LOC120988574
49					KAJ1166052.1	36.8	117	2.57e-12	Nr			KAJ1166052.1 hypothetical protein NDU88_006462 [Pleurodeles waltl]	494	Pleurodeles waltl	hypothetical protein NDU88_006462
50	Cluster-30198.0_NODE_63644_length_2507_cov_4.480738_g22231_i0	bombina_pachypus_corset_DEGS_blastx	2.46942542465017	0.0489671419981132	OCT88103.1	39.5	119	1.77e-19	Nr			OCT88103.1 hypothetical protein XELAEV_18016732mg [Xenopus laevis]	460	Xenopus laevis	hypothetical protein XELAEV_18016732mg
51					OCT61647.1	40.4	114	7.16e-19	Nr			OCT61647.1 hypothetical protein XELAEV_18047676mg [Xenopus laevis]	376	Xenopus laevis	hypothetical protein XELAEV_18047676mg
52					XP_044130662.1	41.1	112	5.43e-17	Nr			XP_044130662.1 coagulation factor XIII B chain-like, partial [Bufo gargarizans]	464	Bufo gargarizans	coagulation factor XIII B chain-like, partial
53					XP_040279110.1	35.7	112	9.07e-16	Nr			XP_040279110.1 uncharacterized protein LOC120994534 [Bufo bufo]	276	Bufo bufo	uncharacterized protein LOC120994534
54					XP_044142548.1	37.1	116	3.12e-15	Nr			XP_044142548.1 uncharacterized protein LOC122932281 isoform X2 [Bufo gargarizans]	295	Bufo gargarizans	uncharacterized protein LOC122932281 isoform X2
55					XP_044132609.1	35.7	112	3.98e-15	Nr			XP_044132609.1 LIM and calponin homology domains-containing protein 1 [Bufo gargarizans]	4256	Bufo gargarizans	LIM and calponin homology domains-containing protein 1
56					OCT65675.1	41.3	80	8.03e-15	Nr			OCT65675.1 hypothetical protein XELAEV_18041911mg [Xenopus laevis]	291	Xenopus laevis	hypothetical protein XELAEV_18041911mg
57					OCT60421.1	49.3	71	1.81e-14	Nr			OCT60421.1 hypothetical protein XELAEV_18046443mg [Xenopus laevis]	192	Xenopus laevis	hypothetical protein XELAEV_18046443mg
58					XP_044160840.1	37.7	114	1.91e-14	Nr			XP_044160840.1 uncharacterized protein LOC122945737 [Bufo gargarizans]	255	Bufo gargarizans	uncharacterized protein LOC122945737
59					OCT78081.1	40.7	81	1.26e-13	Nr			OCT78081.1 hypothetical protein XELAEV_18029181mg [Xenopus laevis]	170	Xenopus laevis	hypothetical protein XELAEV_18029181mg
60					OCU02666.1	36.2	94	3.26e-13	Nr			OCU02666.1 hypothetical protein XELAEV_18008432mg [Xenopus laevis]	243	Xenopus laevis	hypothetical protein XELAEV_18008432mg
61					XP_044147956.1	34.1	85	4.26e-13	Nr			XP_044147956.1 uncharacterized protein LOC122936026 isoform X2 [Bufo gargarizans]	263	Bufo gargarizans	uncharacterized protein LOC122936026 isoform X2
62					OCT76519.1	41.5	82	5.09e-13	Nr			OCT76519.1 hypothetical protein XELAEV_18031722mg [Xenopus laevis]	525	Xenopus laevis	hypothetical protein XELAEV_18031722mg
63					XP_044147955.1	34.1	85	5.42e-13	Nr			XP_044147955.1 uncharacterized protein LOC122936026 isoform X1 [Bufo gargarizans]	284	Bufo gargarizans	uncharacterized protein LOC122936026 isoform X1
64					A0A8J1KTG7	40.5	74	5.43e-13	TrEMBL	LOC121394107	A0A8J1KTG7_XENLA	tr|A0A8J1KTG7|A0A8J1KTG7_XENLA LOW QUALITY PROTEIN: interphotoreceptor matrix proteoglycan 1-like OS=Xenopus laevis OX=8355 GN=LOC121394107 PE=4 SV=1	1144	Xenopus laevis	LOW QUALITY PROTEIN: interphotoreceptor matrix proteoglycan 1-like
65					OCT70285.1	36.5	85	5.73e-13	Nr			OCT70285.1 hypothetical protein XELAEV_18037207mg [Xenopus laevis]	116	Xenopus laevis	hypothetical protein XELAEV_18037207mg
66					XP_041420043.1	40.5	74	1.4e-12	Nr			XP_041420043.1 LOW QUALITY PROTEIN: interphotoreceptor matrix proteoglycan 1-like [Xenopus laevis]	1144	Xenopus laevis	LOW QUALITY PROTEIN: interphotoreceptor matrix proteoglycan 1-like
67					OCT97320.1	41.8	79	2.39e-12	Nr			OCT97320.1 hypothetical protein XELAEV_18009546mg, partial [Xenopus laevis]	504	Xenopus laevis	hypothetical protein XELAEV_18009546mg, partial
68					A0A8J1L5B0	40.0	85	3.7e-12	TrEMBL	LOC121395395	A0A8J1L5B0_XENLA	tr|A0A8J1L5B0|A0A8J1L5B0_XENLA uncharacterized protein LOC121395395 OS=Xenopus laevis OX=8355 GN=LOC121395395 PE=4 SV=1	313	Xenopus laevis	uncharacterized protein LOC121395395
69					A0A8J1M1Q2	40.0	85	3.7e-12	TrEMBL	LOC121399256	A0A8J1M1Q2_XENLA	tr|A0A8J1M1Q2|A0A8J1M1Q2_XENLA uncharacterized protein LOC121399256 OS=Xenopus laevis OX=8355 GN=LOC121399256 PE=4 SV=1	313	Xenopus laevis	uncharacterized protein LOC121399256
70					OCT84824.1	42.5	80	3.77e-12	Nr			OCT84824.1 hypothetical protein XELAEV_18022981mg, partial [Xenopus laevis]	281	Xenopus laevis	hypothetical protein XELAEV_18022981mg, partial
71					OCT83472.1	43.8	73	4.65e-12	Nr			OCT83472.1 hypothetical protein XELAEV_18026014mg [Xenopus laevis]	693	Xenopus laevis	hypothetical protein XELAEV_18026014mg
72					OCT61343.1	39.5	76	4.95e-12	Nr			OCT61343.1 hypothetical protein XELAEV_18047366mg [Xenopus laevis]	1952	Xenopus laevis	hypothetical protein XELAEV_18047366mg
73					OCT55727.1	50.0	60	5.11e-12	Nr			OCT55727.1 hypothetical protein XELAEV_18004523mg [Xenopus laevis]	225	Xenopus laevis	hypothetical protein XELAEV_18004523mg
74					OCT76223.1	40.5	84	5.91e-12	Nr			OCT76223.1 hypothetical protein XELAEV_18031425mg [Xenopus laevis]	294	Xenopus laevis	hypothetical protein XELAEV_18031425mg
75					OCT97489.1	35.4	79	5.99e-12	Nr			OCT97489.1 hypothetical protein XELAEV_18009716mg [Xenopus laevis]	478	Xenopus laevis	hypothetical protein XELAEV_18009716mg
76					OCT98540.1	40.4	89	7.75e-12	Nr			OCT98540.1 hypothetical protein XELAEV_18010776mg [Xenopus laevis]	425	Xenopus laevis	hypothetical protein XELAEV_18010776mg
77					XP_041424742.1	40.0	85	9.5e-12	Nr			XP_041424742.1 uncharacterized protein LOC121395395 [Xenopus laevis]	313	Xenopus laevis	uncharacterized protein LOC121395395
78					A0A8J1M155	41.0	78	1.04e-11	TrEMBL	LOC121399162	A0A8J1M155_XENLA	tr|A0A8J1M155|A0A8J1M155_XENLA uncharacterized protein LOC121399162 OS=Xenopus laevis OX=8355 GN=LOC121399162 PE=4 SV=1	249	Xenopus laevis	uncharacterized protein LOC121399162
79					A0A8C5WH29	33.6	140	3.69e-11	TrEMBL		A0A8C5WH29_9ANUR	tr|A0A8C5WH29|A0A8C5WH29_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	788	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
80					A0A8C5Q9K2	35.3	133	2.11e-10	TrEMBL		A0A8C5Q9K2_9ANUR	tr|A0A8C5Q9K2|A0A8C5Q9K2_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	440	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
81					A0A8C5M1L9	36.0	125	3.17e-10	TrEMBL		A0A8C5M1L9_9ANUR	tr|A0A8C5M1L9|A0A8C5M1L9_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	725	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
82					A0A1S3S1N2	35.4	113	3.48e-10	TrEMBL	LOC106606555	A0A1S3S1N2_SALSA	tr|A0A1S3S1N2|A0A1S3S1N2_SALSA uncharacterized protein LOC106606555 OS=Salmo salar OX=8030 GN=LOC106606555 PE=4 SV=1	320	Salmo salar	uncharacterized protein LOC106606555
83					A0A8J1KRV7	34.7	95	5.94e-10	TrEMBL	LOC121394099	A0A8J1KRV7_XENLA	tr|A0A8J1KRV7|A0A8J1KRV7_XENLA uncharacterized protein LOC121394099 OS=Xenopus laevis OX=8355 GN=LOC121394099 PE=4 SV=1	258	Xenopus laevis	uncharacterized protein LOC121394099
84					A0A8J1MFI0	33.7	95	6e-10	TrEMBL	LOC121400671	A0A8J1MFI0_XENLA	tr|A0A8J1MFI0|A0A8J1MFI0_XENLA uncharacterized protein LOC121393841 OS=Xenopus laevis OX=8355 GN=LOC121400671 PE=4 SV=1	259	Xenopus laevis	uncharacterized protein LOC121393841
85					A0A8J1MFK4	35.8	95	8.24e-10	TrEMBL	LOC121400656	A0A8J1MFK4_XENLA	tr|A0A8J1MFK4|A0A8J1MFK4_XENLA uncharacterized protein LOC121400656 OS=Xenopus laevis OX=8355 GN=LOC121400656 PE=4 SV=1	258	Xenopus laevis	uncharacterized protein LOC121400656
86					A0A8J1MVA4	33.7	95	8.32e-10	TrEMBL	LOC121402375	A0A8J1MVA4_XENLA	tr|A0A8J1MVA4|A0A8J1MVA4_XENLA uncharacterized protein LOC121402375 OS=Xenopus laevis OX=8355 GN=LOC121402375 PE=4 SV=1	259	Xenopus laevis	uncharacterized protein LOC121402375
87					XP_044132609.1	32.6	135	9.05e-10	Nr			XP_044132609.1 LIM and calponin homology domains-containing protein 1 [Bufo gargarizans]	4256	Bufo gargarizans	LIM and calponin homology domains-containing protein 1
88					A0A8C5QEV0	37.1	132	1.48e-09	TrEMBL		A0A8C5QEV0_9ANUR	tr|A0A8C5QEV0|A0A8C5QEV0_9ANUR ESCRT-II complex subunit VPS36 OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	330	Leptobrachium leishanense	ESCRT-II complex subunit VPS36
89					A0A8C5M6S6	34.1	132	2.04e-09	TrEMBL		A0A8C5M6S6_9ANUR	tr|A0A8C5M6S6|A0A8C5M6S6_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	752	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
90					A0A8J1LM18	48.4	62	4.18e-09	TrEMBL	LOC121397630	A0A8J1LM18_XENLA	tr|A0A8J1LM18|A0A8J1LM18_XENLA uncharacterized protein LOC121397630 OS=Xenopus laevis OX=8355 GN=LOC121397630 PE=4 SV=1	306	Xenopus laevis	uncharacterized protein LOC121397630
91					A0A8J1KTL9	39.6	101	4.53e-09	TrEMBL	LOC121394259	A0A8J1KTL9_XENLA	tr|A0A8J1KTL9|A0A8J1KTL9_XENLA uncharacterized protein LOC121394259 OS=Xenopus laevis OX=8355 GN=LOC121394259 PE=4 SV=1	325	Xenopus laevis	uncharacterized protein LOC121394259
92					A0A8J1MDD9	34.7	95	5.88e-09	TrEMBL	LOC121400528	A0A8J1MDD9_XENLA	tr|A0A8J1MDD9|A0A8J1MDD9_XENLA uncharacterized protein LOC121400528 OS=Xenopus laevis OX=8355 GN=LOC121400528 PE=4 SV=1	259	Xenopus laevis	uncharacterized protein LOC121400528
93					A0A8J1MZB9	32.2	115	5.93e-09	TrEMBL	LOC121403098	A0A8J1MZB9_XENLA	tr|A0A8J1MZB9|A0A8J1MZB9_XENLA uncharacterized protein LOC121401658 OS=Xenopus laevis OX=8355 GN=LOC121403098 PE=4 SV=1	313	Xenopus laevis	uncharacterized protein LOC121401658
94					A0A8C5P7I8	35.0	123	9.49e-09	TrEMBL		A0A8C5P7I8_9ANUR	tr|A0A8C5P7I8|A0A8C5P7I8_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	728	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
95					A0A8J1M9E1	35.8	106	1.04e-08	TrEMBL	LOC121399976	A0A8J1M9E1_XENLA	tr|A0A8J1M9E1|A0A8J1M9E1_XENLA uncharacterized protein LOC121399976 OS=Xenopus laevis OX=8355 GN=LOC121399976 PE=4 SV=1	297	Xenopus laevis	uncharacterized protein LOC121399976
96					XP_044146977.1	35.5	124	1.06e-08	Nr			XP_044146977.1 mediator of RNA polymerase II transcription subunit 12-like protein [Bufo gargarizans]	2971	Bufo gargarizans	mediator of RNA polymerase II transcription subunit 12-like protein
97					A0A822I2R7	42.9	63	1.06e-08	TrEMBL	RIMITATOR_LOCUS14211278	A0A822I2R7_9NEOB	tr|A0A822I2R7|A0A822I2R7_9NEOB (mimic poison frog) hypothetical protein OS=Ranitomeya imitator OX=111125 GN=RIMITATOR_LOCUS14211278 PE=4 SV=1	194	Ranitomeya imitator	(mimic poison frog) hypothetical protein
98					A0A8J1LMK6	47.8	67	1.35e-08	TrEMBL	LOC121397685	A0A8J1LMK6_XENLA	tr|A0A8J1LMK6|A0A8J1LMK6_XENLA uncharacterized protein LOC121397685 OS=Xenopus laevis OX=8355 GN=LOC121397685 PE=4 SV=1	285	Xenopus laevis	uncharacterized protein LOC121397685
99					A0A8J1J2W1	45.8	59	1.53e-08	TrEMBL	LOC100494332	A0A8J1J2W1_XENTR	tr|A0A8J1J2W1|A0A8J1J2W1_XENTR vomeronasal type-2 receptor 26 OS=Xenopus tropicalis OX=8364 GN=LOC100494332 PE=4 SV=1	1164	Xenopus tropicalis	vomeronasal type-2 receptor 26
100					A0A8C5LSW4	36.5	126	1.59e-08	TrEMBL		A0A8C5LSW4_9ANUR	tr|A0A8C5LSW4|A0A8C5LSW4_9ANUR ESCRT-II complex subunit VPS36 OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	296	Leptobrachium leishanense	ESCRT-II complex subunit VPS36
101					A0A2I4BLC5	31.4	102	1.8e-08	TrEMBL	LOC106520813	A0A2I4BLC5_9TELE	tr|A0A2I4BLC5|A0A2I4BLC5_9TELE uncharacterized protein LOC106520813 OS=Austrofundulus limnaeus OX=52670 GN=LOC106520813 PE=4 SV=1	238	Austrofundulus limnaeus	uncharacterized protein LOC106520813
102					A0A8C5LPP9	36.5	126	2.21e-08	TrEMBL		A0A8C5LPP9_9ANUR	tr|A0A8C5LPP9|A0A8C5LPP9_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	458	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
103					A0A8J1LVF0	44.9	69	2.53e-08	TrEMBL	LOC121398216	A0A8J1LVF0_XENLA	tr|A0A8J1LVF0|A0A8J1LVF0_XENLA uncharacterized protein LOC121398216 OS=Xenopus laevis OX=8355 GN=LOC121398216 PE=4 SV=1	283	Xenopus laevis	uncharacterized protein LOC121398216
104					A0A8J1M3V6	39.1	69	2.68e-08	TrEMBL	LOC121399504	A0A8J1M3V6_XENLA	tr|A0A8J1M3V6|A0A8J1M3V6_XENLA uncharacterized protein LOC121399504 OS=Xenopus laevis OX=8355 GN=LOC121399504 PE=4 SV=1	294	Xenopus laevis	uncharacterized protein LOC121399504
105					A0A8J1L1V4	39.1	69	2.68e-08	TrEMBL	LOC121395064	A0A8J1L1V4_XENLA	tr|A0A8J1L1V4|A0A8J1L1V4_XENLA uncharacterized protein LOC121395064 OS=Xenopus laevis OX=8355 GN=LOC121395064 PE=4 SV=1	294	Xenopus laevis	uncharacterized protein LOC121395064
