	transcript	row	log2FoldChange	padj	protein_accession	sequence_identity	alignment_length	evalue	database	gene	locus_name	sequence_description	sequence_length	organism	protein_product
62					Q7KYR7	40.1	187	9.04e-40	Swiss-Prot	BTN2A1	BT2A1_HUMAN	sp|Q7KYR7|BT2A1_HUMAN Butyrophilin subfamily 2 member A1 OS=Homo sapiens OX=9606 GN=BTN2A1 PE=1 SV=3	527	Homo sapiens	Butyrophilin subfamily 2 member A1
63					Q9ESN2	45.8	177	7.64e-39	Swiss-Prot	Trim39	TRI39_MOUSE	sp|Q9ESN2|TRI39_MOUSE E3 ubiquitin-protein ligase TRIM39 OS=Mus musculus OX=10090 GN=Trim39 PE=2 SV=1	488	Mus musculus	E3 ubiquitin-protein ligase TRIM39
64					Q6MFZ5	45.8	177	7.64e-39	Swiss-Prot	Trim39	TRI39_RAT	sp|Q6MFZ5|TRI39_RAT E3 ubiquitin-protein ligase TRIM39 OS=Rattus norvegicus OX=10116 GN=Trim39 PE=3 SV=1	488	Rattus norvegicus	E3 ubiquitin-protein ligase TRIM39
65					Q9HCM9	45.8	177	2.17e-38	Swiss-Prot	TRIM39	TRI39_HUMAN	sp|Q9HCM9|TRI39_HUMAN E3 ubiquitin-protein ligase TRIM39 OS=Homo sapiens OX=9606 GN=TRIM39 PE=1 SV=2	518	Homo sapiens	E3 ubiquitin-protein ligase TRIM39
66					Q1XHU0	45.8	177	2.17e-38	Swiss-Prot	TRIM39	TRI39_PANTR	sp|Q1XHU0|TRI39_PANTR E3 ubiquitin-protein ligase TRIM39 OS=Pan troglodytes OX=9598 GN=TRIM39 PE=3 SV=1	518	Pan troglodytes	E3 ubiquitin-protein ligase TRIM39
67					Q62191	39.4	198	6.04e-38	Swiss-Prot	Trim21	RO52_MOUSE	sp|Q62191|RO52_MOUSE E3 ubiquitin-protein ligase TRIM21 OS=Mus musculus OX=10090 GN=Trim21 PE=1 SV=1	470	Mus musculus	E3 ubiquitin-protein ligase TRIM21
68					B1H278	40.1	192	2.18e-37	Swiss-Prot	Trim11	TRI11_RAT	sp|B1H278|TRI11_RAT E3 ubiquitin-protein ligase TRIM11 OS=Rattus norvegicus OX=10116 GN=Trim11 PE=2 SV=1	467	Rattus norvegicus	E3 ubiquitin-protein ligase TRIM11
69					Q96KV6	41.5	171	7.95e-37	Swiss-Prot	BTN2A3P	BT2A3_HUMAN	sp|Q96KV6|BT2A3_HUMAN Putative butyrophilin subfamily 2 member A3 OS=Homo sapiens OX=9606 GN=BTN2A3P PE=5 SV=2	586	Homo sapiens	Putative butyrophilin subfamily 2 member A3
70					Q99PQ2	40.1	192	1.14e-36	Swiss-Prot	Trim11	TRI11_MOUSE	sp|Q99PQ2|TRI11_MOUSE E3 ubiquitin-protein ligase TRIM11 OS=Mus musculus OX=10090 GN=Trim11 PE=1 SV=1	467	Mus musculus	E3 ubiquitin-protein ligase TRIM11
71					O15553	41.4	186	2.49e-36	Swiss-Prot	MEFV	MEFV_HUMAN	sp|O15553|MEFV_HUMAN Pyrin OS=Homo sapiens OX=9606 GN=MEFV PE=1 SV=1	781	Homo sapiens	Pyrin
72					Q96F44	42.9	175	6.01e-36	Swiss-Prot	TRIM11	TRI11_HUMAN	sp|Q96F44|TRI11_HUMAN E3 ubiquitin-protein ligase TRIM11 OS=Homo sapiens OX=9606 GN=TRIM11 PE=1 SV=2	468	Homo sapiens	E3 ubiquitin-protein ligase TRIM11
73					Q8NG06	42.3	163	1.05e-35	Swiss-Prot	TRIM58	TRI58_HUMAN	sp|Q8NG06|TRI58_HUMAN E3 ubiquitin-protein ligase TRIM58 OS=Homo sapiens OX=9606 GN=TRIM58 PE=2 SV=2	486	Homo sapiens	E3 ubiquitin-protein ligase TRIM58
74					Q8K243	44.0	168	2e-35	Swiss-Prot	Trim68	TRI68_MOUSE	sp|Q8K243|TRI68_MOUSE E3 ubiquitin-protein ligase TRIM68 OS=Mus musculus OX=10090 GN=Trim68 PE=2 SV=1	485	Mus musculus	E3 ubiquitin-protein ligase TRIM68
75					KAJ1134913.1	44.4	126	1.22e-22	Nr			KAJ1134913.1 hypothetical protein NDU88_001359 [Pleurodeles waltl]	475	Pleurodeles waltl	hypothetical protein NDU88_001359
76					KAJ1134919.1	45.5	134	9.080000000000001e-22	Nr			KAJ1134919.1 hypothetical protein NDU88_001365 [Pleurodeles waltl]	492	Pleurodeles waltl	hypothetical protein NDU88_001365
77					KAJ1134968.1	43.3	134	3.32e-20	Nr			KAJ1134968.1 hypothetical protein NDU88_001414 [Pleurodeles waltl]	400	Pleurodeles waltl	hypothetical protein NDU88_001414
78					KAJ1134916.1	41.5	130	6.94e-19	Nr			KAJ1134916.1 hypothetical protein NDU88_001362 [Pleurodeles waltl]	486	Pleurodeles waltl	hypothetical protein NDU88_001362
79					KAJ1134966.1	39.3	135	2.41e-18	Nr			KAJ1134966.1 hypothetical protein NDU88_001412 [Pleurodeles waltl]	480	Pleurodeles waltl	hypothetical protein NDU88_001412
80					KAJ1134970.1	36.8	133	1.03e-16	Nr			KAJ1134970.1 hypothetical protein NDU88_001416 [Pleurodeles waltl]	472	Pleurodeles waltl	hypothetical protein NDU88_001416
81					KAJ1134960.1	39.7	121	7.19e-16	Nr			KAJ1134960.1 hypothetical protein NDU88_001406 [Pleurodeles waltl]	264	Pleurodeles waltl	hypothetical protein NDU88_001406
82					A0A6P8P8F8	34.7	124	4.24e-12	TrEMBL	LOC117346408	A0A6P8P8F8_GEOSA	tr|A0A6P8P8F8|A0A6P8P8F8_GEOSA E3 ubiquitin-protein ligase TRIM39-like isoform X2 OS=Geotrypetes seraphini OX=260995 GN=LOC117346408 PE=4 SV=1	481	Geotrypetes seraphini	E3 ubiquitin-protein ligase TRIM39-like isoform X2
83					A0A6P8NSC3	34.7	124	4.31e-12	TrEMBL	LOC117346408	A0A6P8NSC3_GEOSA	tr|A0A6P8NSC3|A0A6P8NSC3_GEOSA E3 ubiquitin-protein ligase TRIM39-like isoform X1 OS=Geotrypetes seraphini OX=260995 GN=LOC117346408 PE=4 SV=1	513	Geotrypetes seraphini	E3 ubiquitin-protein ligase TRIM39-like isoform X1
84					XP_033771806.1	34.7	124	1.09e-11	Nr			XP_033771806.1 E3 ubiquitin-protein ligase TRIM39-like isoform X2 [Geotrypetes seraphini]	481	Geotrypetes seraphini	E3 ubiquitin-protein ligase TRIM39-like isoform X2
85					XP_033771805.1	34.7	124	1.11e-11	Nr			XP_033771805.1 E3 ubiquitin-protein ligase TRIM39-like isoform X1 [Geotrypetes seraphini]	513	Geotrypetes seraphini	E3 ubiquitin-protein ligase TRIM39-like isoform X1
86					XP_042703869.1	34.1	135	3.79e-11	Nr			XP_042703869.1 E3 ubiquitin-protein ligase TRIM39-like [Chrysemys picta bellii]	493	Chrysemys picta bellii	E3 ubiquitin-protein ligase TRIM39-like
87					XP_044838045.1	33.3	135	1.3e-10	Nr			XP_044838045.1 E3 ubiquitin-protein ligase TRIM39-like [Mauremys mutica]	476	Mauremys mutica	E3 ubiquitin-protein ligase TRIM39-like
88					KAJ1134714.1	42.3	104	1.3e-10	Nr			KAJ1134714.1 hypothetical protein NDU88_001161 [Pleurodeles waltl]	484	Pleurodeles waltl	hypothetical protein NDU88_001161
89					XP_029443065.1	32.6	135	1.33e-10	Nr			XP_029443065.1 E3 ubiquitin-protein ligase TRIM39-like [Rhinatrema bivittatum]	541	Rhinatrema bivittatum	E3 ubiquitin-protein ligase TRIM39-like
90					XP_029447852.1	33.9	124	1.76e-10	Nr			XP_029447852.1 E3 ubiquitin-protein ligase TRIM39-like isoform X1 [Rhinatrema bivittatum]	472	Rhinatrema bivittatum	E3 ubiquitin-protein ligase TRIM39-like isoform X1
91					XP_039373665.1	32.6	135	2.41e-10	Nr			XP_039373665.1 E3 ubiquitin-protein ligase TRIM39-like [Mauremys reevesii]	476	Mauremys reevesii	E3 ubiquitin-protein ligase TRIM39-like
92					XP_044840182.1	33.3	135	3.29e-10	Nr			XP_044840182.1 E3 ubiquitin-protein ligase TRIM39-like [Mauremys mutica]	478	Mauremys mutica	E3 ubiquitin-protein ligase TRIM39-like
93					KAJ1134692.1	39.8	113	3.3e-10	Nr			KAJ1134692.1 hypothetical protein NDU88_001139 [Pleurodeles waltl]	482	Pleurodeles waltl	hypothetical protein NDU88_001139
94					XP_039357995.1	33.3	135	6.11e-10	Nr			XP_039357995.1 E3 ubiquitin-protein ligase TRIM39-like [Mauremys reevesii]	476	Mauremys reevesii	E3 ubiquitin-protein ligase TRIM39-like
95					KAJ1134906.1	30.4	135	7.94e-10	Nr			KAJ1134906.1 hypothetical protein NDU88_001352 [Pleurodeles waltl]	417	Pleurodeles waltl	hypothetical protein NDU88_001352
96					XP_029447853.1	33.6	122	1.13e-09	Nr			XP_029447853.1 E3 ubiquitin-protein ligase TRIM39-like isoform X2 [Rhinatrema bivittatum]	472	Rhinatrema bivittatum	E3 ubiquitin-protein ligase TRIM39-like isoform X2
97					XP_044838048.1	31.9	135	1.13e-09	Nr			XP_044838048.1 E3 ubiquitin-protein ligase TRIM39-like [Mauremys mutica]	473	Mauremys mutica	E3 ubiquitin-protein ligase TRIM39-like
98					XP_044839023.1	33.3	135	1.14e-09	Nr			XP_044839023.1 E3 ubiquitin-protein ligase TRIM39-like [Mauremys mutica]	476	Mauremys mutica	E3 ubiquitin-protein ligase TRIM39-like
99					XP_034645002.1	33.3	135	1.14e-09	Nr			XP_034645002.1 E3 ubiquitin-protein ligase TRIM39-like isoform X2 [Trachemys scripta elegans]	476	Trachemys scripta elegans	E3 ubiquitin-protein ligase TRIM39-like isoform X2
100					XP_034645001.1	33.3	135	1.14e-09	Nr			XP_034645001.1 E3 ubiquitin-protein ligase TRIM39-like isoform X1 [Trachemys scripta elegans]	492	Trachemys scripta elegans	E3 ubiquitin-protein ligase TRIM39-like isoform X1
101					KAJ1134745.1	46.9	81	1.15e-09	Nr			KAJ1134745.1 hypothetical protein NDU88_001192 [Pleurodeles waltl]	173	Pleurodeles waltl	hypothetical protein NDU88_001192
102					A0A6P7XSL4	31.1	135	1.33e-08	TrEMBL	LOC115466363	A0A6P7XSL4_9AMPH	tr|A0A6P7XSL4|A0A6P7XSL4_9AMPH E3 ubiquitin-protein ligase TRIM39-like isoform X2 OS=Microcaecilia unicolor OX=1415580 GN=LOC115466363 PE=4 SV=1	483	Microcaecilia unicolor	E3 ubiquitin-protein ligase TRIM39-like isoform X2
103					A0A6P7XLM8	31.1	135	1.33e-08	TrEMBL	LOC115466363	A0A6P7XLM8_9AMPH	tr|A0A6P7XLM8|A0A6P7XLM8_9AMPH E3 ubiquitin-protein ligase TRIM39-like isoform X1 OS=Microcaecilia unicolor OX=1415580 GN=LOC115466363 PE=4 SV=1	483	Microcaecilia unicolor	E3 ubiquitin-protein ligase TRIM39-like isoform X1
104					A0A4D9DH52	33.1	124	1.68e-08	TrEMBL	DR999_PMT21369	A0A4D9DH52_9SAUR	tr|A0A4D9DH52|A0A4D9DH52_9SAUR Laminin subunit beta-4 OS=Platysternon megacephalum OX=55544 GN=DR999_PMT21369 PE=4 SV=1	380	Platysternon megacephalum	Laminin subunit beta-4
