query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene-ASIM_LOCUS5139	6326.BUX.s00217.2	1.83e-13	72.0	COG0814@1|root,KOG1304@2759|Eukaryota,38DD8@33154|Opisthokonta,3BP9G@33208|Metazoa,3D275@33213|Bilateria,40C03@6231|Nematoda,1KTTJ@119089|Chromadorea	33208|Metazoa	E	amino acid transport	-	GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0006810,GO:0006811,GO:0006820,GO:0006865,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015179,GO:0015318,GO:0015711,GO:0015807,GO:0015849,GO:0022857,GO:0034220,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0098656,GO:1902475,GO:1903825,GO:1905039	-	ko:K14209	ko04138,map04138	-	-	-	ko00000,ko00001,ko02000,ko04131	2.A.18.8	-	-	Aa_trans
gene-ASIM_LOCUS5163	135651.CBN32853	1.19e-51	172.0	KOG3160@1|root,KOG3160@2759|Eukaryota,3A2JT@33154|Opisthokonta,3BQHI@33208|Metazoa,3D7ST@33213|Bilateria,40DDF@6231|Nematoda,1KVXZ@119089|Chromadorea,40UXA@6236|Rhabditida	33208|Metazoa	O	Gamma interferon inducible lysosomal thiol reductase (GILT)	-	GO:0002831,GO:0002833,GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0015036,GO:0016491,GO:0016667,GO:0031347,GO:0031349,GO:0032101,GO:0032103,GO:0043900,GO:0043902,GO:0048518,GO:0048583,GO:0048584,GO:0050789,GO:0055114,GO:0065007,GO:0080134,GO:1900424,GO:1900426	-	ko:K08059	ko04612,map04612	-	-	-	ko00000,ko00001	-	-	-	GILT,SapA
gene-ASIM_LOCUS5168	31033.ENSTRUP00000017909	8.82e-15	75.1	COG0308@1|root,KOG1046@2759|Eukaryota	2759|Eukaryota	E	metalloaminopeptidase activity	ANPEP	GO:0001775,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0003008,GO:0003013,GO:0003674,GO:0003824,GO:0004177,GO:0005488,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005793,GO:0005886,GO:0006508,GO:0006518,GO:0006725,GO:0006807,GO:0006810,GO:0006887,GO:0006955,GO:0007154,GO:0007165,GO:0007267,GO:0008015,GO:0008150,GO:0008152,GO:0008217,GO:0008233,GO:0008235,GO:0008237,GO:0008238,GO:0008270,GO:0009056,GO:0009897,GO:0009986,GO:0009987,GO:0012505,GO:0012506,GO:0016020,GO:0016192,GO:0016787,GO:0019538,GO:0023052,GO:0030141,GO:0030659,GO:0030667,GO:0031090,GO:0031410,GO:0031974,GO:0031982,GO:0031983,GO:0032501,GO:0032879,GO:0032940,GO:0033218,GO:0034641,GO:0035813,GO:0035814,GO:0036230,GO:0038023,GO:0042119,GO:0042277,GO:0043167,GO:0043169,GO:0043170,GO:0043171,GO:0043226,GO:0043227,GO:0043229,GO:0043230,GO:0043231,GO:0043233,GO:0043299,GO:0043312,GO:0043603,GO:0044057,GO:0044062,GO:0044237,GO:0044238,GO:0044248,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045055,GO:0045321,GO:0046872,GO:0046903,GO:0046914,GO:0048519,GO:0050789,GO:0050794,GO:0050896,GO:0051046,GO:0051048,GO:0051049,GO:0051051,GO:0051179,GO:0051234,GO:0051239,GO:0051241,GO:0051716,GO:0060089,GO:0065007,GO:0065008,GO:0070006,GO:0070011,GO:0070062,GO:0071704,GO:0071944,GO:0097708,GO:0098552,GO:0098588,GO:0098801,GO:0098805,GO:0099503,GO:0140096,GO:1901564,GO:1901565,GO:1901575,GO:1903561	3.4.11.2	ko:K11140	ko00480,ko01100,ko04614,ko04640,map00480,map01100,map04614,map04640	-	R00899,R04951	RC00096,RC00141	ko00000,ko00001,ko01000,ko01002,ko04090,ko04131,ko04147	-	-	-	ERAP1_C,Peptidase_M1
gene-ASIM_LOCUS5186	31234.CRE26179	1.89e-78	245.0	COG1703@1|root,2QR2W@2759|Eukaryota,38GCT@33154|Opisthokonta,3B9TV@33208|Metazoa,3CVKS@33213|Bilateria,40IJX@6231|Nematoda,1M1VU@119089|Chromadorea,40UYB@6236|Rhabditida	33208|Metazoa	F	May have GTPase activity. May also bind and hydrolyze ATP. May function as chaperone	MMAA	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005515,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0006725,GO:0006766,GO:0006767,GO:0006807,GO:0008150,GO:0008152,GO:0009235,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0017144,GO:0019001,GO:0031974,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0033013,GO:0035639,GO:0036094,GO:0042802,GO:0042803,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044281,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0046983,GO:0051186,GO:0070013,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901363,GO:1901564	-	ko:K07588	-	-	-	-	ko00000,ko01000	-	-	-	ArgK
gene-ASIM_LOCUS5196	7209.EJD73849.1	2.68e-93	289.0	COG0334@1|root,KOG2250@2759|Eukaryota,38GEK@33154|Opisthokonta,3BHQW@33208|Metazoa,3CSIC@33213|Bilateria,40BHJ@6231|Nematoda,1KTXV@119089|Chromadorea	33208|Metazoa	E	Belongs to the Glu Leu Phe Val dehydrogenases family	Gdh	GO:0003674,GO:0003824,GO:0004352,GO:0004353,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0006082,GO:0006103,GO:0006106,GO:0006116,GO:0006139,GO:0006520,GO:0006536,GO:0006538,GO:0006725,GO:0006732,GO:0006733,GO:0006734,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009063,GO:0009064,GO:0009065,GO:0009117,GO:0009987,GO:0016054,GO:0016491,GO:0016638,GO:0016639,GO:0019362,GO:0019551,GO:0019637,GO:0019674,GO:0019752,GO:0031974,GO:0034641,GO:0042802,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0043648,GO:0043649,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046395,GO:0046483,GO:0046496,GO:0051186,GO:0055086,GO:0055114,GO:0070013,GO:0071704,GO:0072524,GO:1901360,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606	1.4.1.3	ko:K00261	ko00220,ko00250,ko00471,ko00910,ko01100,ko01200,ko04217,ko04964,map00220,map00250,map00471,map00910,map01100,map01200,map04217,map04964	M00740	R00243,R00248	RC00006,RC02799	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	ELFV_dehydrog,ELFV_dehydrog_N
gene-ASIM_LOCUS5199	281687.CJA28425	4.56e-40	146.0	COG0308@1|root,KOG1046@2759|Eukaryota,38CFG@33154|Opisthokonta,3BD0T@33208|Metazoa,3CUKR@33213|Bilateria,40AHT@6231|Nematoda,1KUJE@119089|Chromadorea,4171Z@6236|Rhabditida	33208|Metazoa	EO	aminopeptidase activity	ANPEP	GO:0001775,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0003008,GO:0003013,GO:0003674,GO:0003824,GO:0004177,GO:0005488,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005793,GO:0005886,GO:0006508,GO:0006518,GO:0006725,GO:0006807,GO:0006810,GO:0006887,GO:0006955,GO:0007154,GO:0007165,GO:0007267,GO:0008015,GO:0008150,GO:0008152,GO:0008217,GO:0008233,GO:0008235,GO:0008237,GO:0008238,GO:0008270,GO:0009056,GO:0009897,GO:0009986,GO:0009987,GO:0012505,GO:0012506,GO:0016020,GO:0016192,GO:0016787,GO:0019538,GO:0023052,GO:0030141,GO:0030659,GO:0030667,GO:0031090,GO:0031410,GO:0031974,GO:0031982,GO:0031983,GO:0032501,GO:0032879,GO:0032940,GO:0033218,GO:0034641,GO:0035813,GO:0035814,GO:0036230,GO:0038023,GO:0042119,GO:0042277,GO:0043167,GO:0043169,GO:0043170,GO:0043171,GO:0043226,GO:0043227,GO:0043229,GO:0043230,GO:0043231,GO:0043233,GO:0043299,GO:0043312,GO:0043603,GO:0044057,GO:0044062,GO:0044237,GO:0044238,GO:0044248,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045055,GO:0045321,GO:0046872,GO:0046903,GO:0046914,GO:0048519,GO:0050789,GO:0050794,GO:0050896,GO:0051046,GO:0051048,GO:0051049,GO:0051051,GO:0051179,GO:0051234,GO:0051239,GO:0051241,GO:0051716,GO:0060089,GO:0065007,GO:0065008,GO:0070006,GO:0070011,GO:0070062,GO:0071704,GO:0071944,GO:0097708,GO:0098552,GO:0098588,GO:0098801,GO:0098805,GO:0099503,GO:0140096,GO:1901564,GO:1901565,GO:1901575,GO:1903561	3.4.11.2	ko:K11140	ko00480,ko01100,ko04614,ko04640,map00480,map01100,map04614,map04640	-	R00899,R04951	RC00096,RC00141	ko00000,ko00001,ko01000,ko01002,ko04090,ko04131,ko04147	-	-	-	ERAP1_C,Peptidase_M1
gene-ASIM_LOCUS5215	7209.EFO21797.2	5.14e-63	209.0	COG0477@1|root,KOG3574@2759|Eukaryota,38C8A@33154|Opisthokonta,3BD8W@33208|Metazoa,3CS8K@33213|Bilateria,40C22@6231|Nematoda,1KTIS@119089|Chromadorea	33208|Metazoa	P	Acetyl-coenzyme A transporter 1	SLC33A1	GO:0000139,GO:0000295,GO:0003674,GO:0005215,GO:0005346,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0005794,GO:0005886,GO:0005887,GO:0006355,GO:0006357,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006862,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007178,GO:0007275,GO:0007399,GO:0007417,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0008521,GO:0009719,GO:0009889,GO:0009987,GO:0010033,GO:0010468,GO:0010556,GO:0012505,GO:0015075,GO:0015077,GO:0015078,GO:0015215,GO:0015216,GO:0015291,GO:0015293,GO:0015294,GO:0015295,GO:0015318,GO:0015605,GO:0015672,GO:0015711,GO:0015748,GO:0015865,GO:0015868,GO:0015876,GO:0015916,GO:0015931,GO:0015932,GO:0016020,GO:0016021,GO:0019219,GO:0019222,GO:0022804,GO:0022857,GO:0022890,GO:0023052,GO:0030509,GO:0031090,GO:0031224,GO:0031226,GO:0031323,GO:0031326,GO:0031984,GO:0032501,GO:0032502,GO:0034220,GO:0042175,GO:0042221,GO:0042886,GO:0042887,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044432,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0048731,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051179,GO:0051181,GO:0051182,GO:0051184,GO:0051185,GO:0051234,GO:0051252,GO:0051503,GO:0051716,GO:0055085,GO:0060255,GO:0060395,GO:0065007,GO:0070848,GO:0070887,GO:0071077,GO:0071106,GO:0071310,GO:0071363,GO:0071495,GO:0071702,GO:0071705,GO:0071772,GO:0071773,GO:0071944,GO:0072348,GO:0072530,GO:0080090,GO:0098588,GO:0098655,GO:0098656,GO:0098660,GO:0098662,GO:0098791,GO:0098827,GO:1901264,GO:1901337,GO:1901505,GO:1901679,GO:1901682,GO:1902600,GO:1903506,GO:2000112,GO:2001141	-	ko:K03372	ko00604,ko01100,map00604,map01100	-	-	-	ko00000,ko00001,ko01000,ko02000	2.A.1.25	-	-	Acatn
gene-ASIM_LOCUS5265	6326.BUX.s00036.259	1e-63	201.0	KOG3071@1|root,KOG3072@2759|Eukaryota,3AAC4@33154|Opisthokonta,3BZM2@33208|Metazoa,3DFJ8@33213|Bilateria,40FHA@6231|Nematoda,1KY66@119089|Chromadorea	33208|Metazoa	I	Elongation of very long chain fatty acids protein	-	GO:0000003,GO:0006629,GO:0007275,GO:0007568,GO:0008150,GO:0008152,GO:0008340,GO:0010259,GO:0010468,GO:0019222,GO:0032501,GO:0032502,GO:0035264,GO:0040007,GO:0044238,GO:0048589,GO:0048856,GO:0050789,GO:0060255,GO:0065007,GO:0071704	-	-	-	-	-	-	-	-	-	-	ELO
gene-ASIM_LOCUS5276	176946.XP_007444434.1	3.16e-25	105.0	COG1132@1|root,KOG0054@2759|Eukaryota,38CH6@33154|Opisthokonta,3BAG8@33208|Metazoa,3CSJ8@33213|Bilateria,487SI@7711|Chordata,4912F@7742|Vertebrata	33208|Metazoa	Q	ATP-binding cassette, subfamily C (CFTR MRP), member 5	ABCC5	GO:0000166,GO:0002237,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005887,GO:0006022,GO:0006023,GO:0006024,GO:0006082,GO:0006807,GO:0006810,GO:0006811,GO:0006820,GO:0008144,GO:0008150,GO:0008152,GO:0008509,GO:0008514,GO:0009058,GO:0009059,GO:0009605,GO:0009607,GO:0009617,GO:0009719,GO:0009725,GO:0009987,GO:0010033,GO:0010243,GO:0015075,GO:0015103,GO:0015318,GO:0015399,GO:0015405,GO:0015698,GO:0015711,GO:0016020,GO:0016021,GO:0016053,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019752,GO:0022804,GO:0022857,GO:0030203,GO:0030212,GO:0030213,GO:0030554,GO:0031224,GO:0031226,GO:0032496,GO:0032553,GO:0032555,GO:0032559,GO:0032868,GO:0033993,GO:0034220,GO:0035639,GO:0036094,GO:0042221,GO:0042623,GO:0042626,GO:0043167,GO:0043168,GO:0043170,GO:0043207,GO:0043225,GO:0043434,GO:0043436,GO:0043492,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0046394,GO:0048471,GO:0050896,GO:0051179,GO:0051234,GO:0051704,GO:0051707,GO:0055085,GO:0071702,GO:0071704,GO:0071944,GO:0097159,GO:0097367,GO:0098656,GO:0099133,GO:1901135,GO:1901137,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901652,GO:1901698,GO:1901700,GO:1903510	-	ko:K05668,ko:K05672,ko:K21863	ko01523,ko02010,map01523,map02010	-	-	-	ko00000,ko00001,ko02000,ko04040	1.A.1.11.15,3.A.1.208,3.A.1.208.15	-	-	ABC_membrane,ABC_tran
gene-ASIM_LOCUS5306	7209.EFO26889.2	2.7e-37	135.0	COG0300@1|root,KOG1014@2759|Eukaryota,39YJC@33154|Opisthokonta,3BN8M@33208|Metazoa,3D625@33213|Bilateria,40C0W@6231|Nematoda,1KUN3@119089|Chromadorea	33208|Metazoa	Q	Enoyl-(Acyl carrier protein) reductase	-	-	1.1.1.330,1.1.1.62	ko:K10251	ko00062,ko00140,ko01040,ko01100,ko01110,ko01212,map00062,map00140,map01040,map01100,map01110,map01212	M00415	R02352,R02353,R04681,R04682,R07759,R08945,R08980,R10826	RC00029,RC00103,RC00127,RC00261	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	adh_short
gene-ASIM_LOCUS5309	1561998.Csp11.Scaffold596.g5288.t1	9.07e-10	61.2	COG0604@1|root,KOG0025@2759|Eukaryota,3AENE@33154|Opisthokonta,3BX5R@33208|Metazoa,3DF7U@33213|Bilateria,40FVU@6231|Nematoda,1KXRG@119089|Chromadorea,40TMM@6236|Rhabditida	33208|Metazoa	CK	Alcohol dehydrogenase GroES-like domain	-	-	1.3.1.38	ko:K07512	ko00062,ko01100,ko01212,map00062,map01100,map01212	M00085	R01278,R03776,R03856,R03989,R04753,R06985,R07162	RC00052	ko00000,ko00001,ko00002,ko01000	-	-	-	ADH_N,ADH_zinc_N
gene-ASIM_LOCUS5313	7739.XP_002600956.1	1.45e-48	173.0	COG1501@1|root,KOG1065@2759|Eukaryota,38C0A@33154|Opisthokonta,3BACU@33208|Metazoa,3CTEG@33213|Bilateria,4808H@7711|Chordata	33208|Metazoa	G	sucrose alpha-glucosidase activity	SI	GO:0000272,GO:0001775,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0003674,GO:0003824,GO:0004553,GO:0004558,GO:0004564,GO:0004574,GO:0004575,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005886,GO:0005903,GO:0005975,GO:0005976,GO:0005982,GO:0005983,GO:0006073,GO:0006810,GO:0006887,GO:0006950,GO:0006955,GO:0007568,GO:0007584,GO:0007586,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009251,GO:0009605,GO:0009719,GO:0009725,GO:0009743,GO:0009744,GO:0009746,GO:0009750,GO:0009987,GO:0009991,GO:0010033,GO:0010243,GO:0012505,GO:0012506,GO:0014070,GO:0015926,GO:0016020,GO:0016052,GO:0016192,GO:0016324,GO:0016787,GO:0016798,GO:0030141,GO:0030659,GO:0030667,GO:0031090,GO:0031410,GO:0031667,GO:0031960,GO:0031982,GO:0032501,GO:0032502,GO:0032868,GO:0032940,GO:0033189,GO:0033273,GO:0033993,GO:0034284,GO:0034285,GO:0036230,GO:0042119,GO:0042221,GO:0042594,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043299,GO:0043312,GO:0043434,GO:0044042,GO:0044237,GO:0044238,GO:0044245,GO:0044247,GO:0044248,GO:0044260,GO:0044262,GO:0044264,GO:0044275,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045055,GO:0045121,GO:0045177,GO:0045321,GO:0046903,GO:0048545,GO:0050896,GO:0051179,GO:0051234,GO:0051384,GO:0070820,GO:0070821,GO:0071704,GO:0071944,GO:0090599,GO:0097708,GO:0098588,GO:0098589,GO:0098590,GO:0098805,GO:0098857,GO:0098862,GO:0099503,GO:0101002,GO:0101003,GO:1901575,GO:1901652,GO:1901698,GO:1901700	3.2.1.10,3.2.1.20,3.2.1.3,3.2.1.48	ko:K01203,ko:K12047	ko00052,ko00500,ko01100,ko04973,map00052,map00500,map01100,map04973	-	R00028,R00801,R00802,R01718,R01790,R01791,R06087,R06088,R06199	RC00028,RC00049,RC00059,RC00077,RC00451	ko00000,ko00001,ko01000,ko04147	-	GH31	-	Gal_mutarotas_2,Glyco_hydro_31,NtCtMGAM_N,Trefoil
gene-ASIM_LOCUS5328	12957.ACEP26372-PA	2.04e-22	98.2	KOG0819@1|root,KOG0819@2759|Eukaryota,38FEE@33154|Opisthokonta,3BCMH@33208|Metazoa,3CXS1@33213|Bilateria,41TJC@6656|Arthropoda,3SGTA@50557|Insecta,46KRV@7399|Hymenoptera	33208|Metazoa	U	Annexin repeats	-	GO:0001786,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005539,GO:0005543,GO:0005544,GO:0005545,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006725,GO:0006807,GO:0008092,GO:0008150,GO:0008152,GO:0008201,GO:0008289,GO:0008429,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0035091,GO:0043167,GO:0043168,GO:0043170,GO:0043394,GO:0043395,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0072341,GO:0080090,GO:0090304,GO:0097367,GO:0097659,GO:1901360,GO:1901362,GO:1901576,GO:1901681,GO:1903506,GO:2000112,GO:2001141	-	ko:K17095	-	-	-	-	ko00000,ko04147	1.A.31.1.1,1.A.31.1.6	-	-	Annexin
gene-ASIM_LOCUS5344	281687.CJA01875	1.06e-39	137.0	COG0346@1|root,KOG2944@2759|Eukaryota,3A01S@33154|Opisthokonta,3BPU2@33208|Metazoa,3D7RI@33213|Bilateria,40GDV@6231|Nematoda,1M3MY@119089|Chromadorea,410TZ@6236|Rhabditida	33208|Metazoa	G	Glyoxalase-like domain	MCEE	-	5.1.99.1	ko:K05606	ko00280,ko00630,ko00640,ko00720,ko01100,ko01120,ko01200,map00280,map00630,map00640,map00720,map01100,map01120,map01200	M00373,M00375,M00376,M00741	R02765,R09979	RC00780,RC02739	ko00000,ko00001,ko00002,ko01000	-	-	-	Glyoxalase_4
