	transcript	row	log2FoldChange	padj	protein_accession	sequence_identity	alignment_length	evalue	database	gene	locus_name	sequence_description	sequence_length	organism	protein_product
23					XP_020640712.1	85.1	1087	0.0	Nr			XP_020640712.1 disheveled-associated activator of morphogenesis 2 isoform X1 [Pogona vitticeps]	1088	Pogona vitticeps	disheveled-associated activator of morphogenesis 2 isoform X1
24					XP_019382787.1	84.7	1082	0.0	Nr			XP_019382787.1 PREDICTED: disheveled-associated activator of morphogenesis 2 isoform X1 [Gavialis gangeticus]	1084	Gavialis gangeticus	PREDICTED: disheveled-associated activator of morphogenesis 2 isoform X1
25					A0A8T1SP72	85.1	1083	0.0	TrEMBL	DAAM2	A0A8T1SP72_CHESE	tr|A0A8T1SP72|A0A8T1SP72_CHESE Dishevelled associated activator of morphogenesis 2 OS=Chelydra serpentina OX=8475 GN=DAAM2 PE=4 SV=1	1084	Chelydra serpentina	Dishevelled associated activator of morphogenesis 2
26					A0A8C3XPG8	84.3	1081	0.0	TrEMBL		A0A8C3XPG8_CHESE	tr|A0A8C3XPG8|A0A8C3XPG8_CHESE Dishevelled associated activator of morphogenesis 2 OS=Chelydra serpentina OX=8475 PE=4 SV=1	1071	Chelydra serpentina	Dishevelled associated activator of morphogenesis 2
27					A0A7M4FX19	84.8	1082	0.0	TrEMBL	DAAM2	A0A7M4FX19_CROPO	tr|A0A7M4FX19|A0A7M4FX19_CROPO Dishevelled associated activator of morphogenesis 2 OS=Crocodylus porosus OX=8502 GN=DAAM2 PE=4 SV=1	1084	Crocodylus porosus	Dishevelled associated activator of morphogenesis 2
28					K7FUY5	84.2	1084	0.0	TrEMBL	DAAM2	K7FUY5_PELSI	tr|K7FUY5|K7FUY5_PELSI Dishevelled associated activator of morphogenesis 2 OS=Pelodiscus sinensis OX=13735 GN=DAAM2 PE=4 SV=1	1082	Pelodiscus sinensis	Dishevelled associated activator of morphogenesis 2
29					A0A8C8RE90	84.6	1081	0.0	TrEMBL		A0A8C8RE90_9SAUR	tr|A0A8C8RE90|A0A8C8RE90_9SAUR Dishevelled associated activator of morphogenesis 2 OS=Pelusios castaneus OX=367368 PE=4 SV=1	1080	Pelusios castaneus	Dishevelled associated activator of morphogenesis 2
30					A0A8C3PEA6	84.8	1081	0.0	TrEMBL	DAAM2	A0A8C3PEA6_CHRPI	tr|A0A8C3PEA6|A0A8C3PEA6_CHRPI Dishevelled associated activator of morphogenesis 2 OS=Chrysemys picta bellii OX=8478 GN=DAAM2 PE=4 SV=1	1082	Chrysemys picta bellii	Dishevelled associated activator of morphogenesis 2
31					A0A8J0VF75	84.2	1083	0.0	TrEMBL	LOC108716513	A0A8J0VF75_XENLA	tr|A0A8J0VF75|A0A8J0VF75_XENLA disheveled-associated activator of morphogenesis 2 OS=Xenopus laevis OX=8355 GN=LOC108716513 PE=4 SV=1	1083	Xenopus laevis	disheveled-associated activator of morphogenesis 2
32					A0A151P323	84.9	1083	0.0	TrEMBL	DAAM2	A0A151P323_ALLMI	tr|A0A151P323|A0A151P323_ALLMI Disheveled-associated activator of morphogenesis 2 isoform A OS=Alligator mississippiensis OX=8496 GN=DAAM2 PE=4 SV=1	1113	Alligator mississippiensis	Disheveled-associated activator of morphogenesis 2 isoform A
33					A0A6J0T3Q7	85.1	1087	0.0	TrEMBL	DAAM2	A0A6J0T3Q7_9SAUR	tr|A0A6J0T3Q7|A0A6J0T3Q7_9SAUR disheveled-associated activator of morphogenesis 2 isoform X1 OS=Pogona vitticeps OX=103695 GN=DAAM2 PE=4 SV=1	1088	Pogona vitticeps	disheveled-associated activator of morphogenesis 2 isoform X1
34					A0A452IIZ6	84.6	1083	0.0	TrEMBL		A0A452IIZ6_9SAUR	tr|A0A452IIZ6|A0A452IIZ6_9SAUR Dishevelled associated activator of morphogenesis 2 OS=Gopherus agassizii OX=38772 PE=4 SV=1	1084	Gopherus agassizii	Dishevelled associated activator of morphogenesis 2
35					A0A670HPB9	84.7	1090	0.0	TrEMBL	DAAM2	A0A670HPB9_PODMU	tr|A0A670HPB9|A0A670HPB9_PODMU Dishevelled associated activator of morphogenesis 2 OS=Podarcis muralis OX=64176 GN=DAAM2 PE=4 SV=1	1086	Podarcis muralis	Dishevelled associated activator of morphogenesis 2
36					A0A1L8G0W2	83.6	1082	0.0	TrEMBL	daam2.S	A0A1L8G0W2_XENLA	tr|A0A1L8G0W2|A0A1L8G0W2_XENLA disheveled-associated activator of morphogenesis 2 OS=Xenopus laevis OX=8355 GN=daam2.S PE=4 SV=1	1082	Xenopus laevis	disheveled-associated activator of morphogenesis 2
37					K7FUY1	83.7	1083	0.0	TrEMBL	DAAM2	K7FUY1_PELSI	tr|K7FUY1|K7FUY1_PELSI Dishevelled associated activator of morphogenesis 2 OS=Pelodiscus sinensis OX=13735 GN=DAAM2 PE=4 SV=1	1072	Pelodiscus sinensis	Dishevelled associated activator of morphogenesis 2
38					A0A8C8VFK1	84.2	1081	0.0	TrEMBL		A0A8C8VFK1_9SAUR	tr|A0A8C8VFK1|A0A8C8VFK1_9SAUR Dishevelled associated activator of morphogenesis 2 OS=Pelusios castaneus OX=367368 PE=4 SV=1	1071	Pelusios castaneus	Dishevelled associated activator of morphogenesis 2
39					A0A6J1VBG3	84.7	1088	0.0	TrEMBL	DAAM2	A0A6J1VBG3_9SAUR	tr|A0A6J1VBG3|A0A6J1VBG3_9SAUR disheveled-associated activator of morphogenesis 2 isoform X1 OS=Notechis scutatus OX=8663 GN=DAAM2 PE=4 SV=1	1087	Notechis scutatus	disheveled-associated activator of morphogenesis 2 isoform X1
40					A0A8C3IRV6	84.2	1080	0.0	TrEMBL	DAAM2	A0A8C3IRV6_CHRPI	tr|A0A8C3IRV6|A0A8C3IRV6_CHRPI Dishevelled associated activator of morphogenesis 2 OS=Chrysemys picta bellii OX=8478 GN=DAAM2 PE=4 SV=1	1071	Chrysemys picta bellii	Dishevelled associated activator of morphogenesis 2
41					A0A151P302	84.3	1082	0.0	TrEMBL	DAAM2	A0A151P302_ALLMI	tr|A0A151P302|A0A151P302_ALLMI Disheveled-associated activator of morphogenesis 2 isoform B OS=Alligator mississippiensis OX=8496 GN=DAAM2 PE=4 SV=1	1102	Alligator mississippiensis	Disheveled-associated activator of morphogenesis 2 isoform B
42					A0A6J0SWF0	84.5	1085	0.0	TrEMBL	DAAM2	A0A6J0SWF0_9SAUR	tr|A0A6J0SWF0|A0A6J0SWF0_9SAUR disheveled-associated activator of morphogenesis 2 isoform X2 OS=Pogona vitticeps OX=103695 GN=DAAM2 PE=4 SV=1	1076	Pogona vitticeps	disheveled-associated activator of morphogenesis 2 isoform X2
43					A0A670YGJ2	84.6	1086	0.0	TrEMBL	DAAM2	A0A670YGJ2_PSETE	tr|A0A670YGJ2|A0A670YGJ2_PSETE Dishevelled associated activator of morphogenesis 2 OS=Pseudonaja textilis OX=8673 GN=DAAM2 PE=4 SV=1	1075	Pseudonaja textilis	Dishevelled associated activator of morphogenesis 2
44					A0A6P8R5Z7	83.1	1085	0.0	TrEMBL	DAAM2	A0A6P8R5Z7_GEOSA	tr|A0A6P8R5Z7|A0A6P8R5Z7_GEOSA disheveled-associated activator of morphogenesis 2 isoform X1 OS=Geotrypetes seraphini OX=260995 GN=DAAM2 PE=4 SV=1	1073	Geotrypetes seraphini	disheveled-associated activator of morphogenesis 2 isoform X1
45					A0A452IJ28	83.9	1082	0.0	TrEMBL		A0A452IJ28_9SAUR	tr|A0A452IJ28|A0A452IJ28_9SAUR Dishevelled associated activator of morphogenesis 2 OS=Gopherus agassizii OX=38772 PE=4 SV=1	1073	Gopherus agassizii	Dishevelled associated activator of morphogenesis 2
46					A0A670HPH5	84.1	1088	0.0	TrEMBL	DAAM2	A0A670HPH5_PODMU	tr|A0A670HPH5|A0A670HPH5_PODMU Dishevelled associated activator of morphogenesis 2 OS=Podarcis muralis OX=64176 GN=DAAM2 PE=4 SV=1	1074	Podarcis muralis	Dishevelled associated activator of morphogenesis 2
47					A0A803TJC9	84.1	1090	0.0	TrEMBL	DAAM2	A0A803TJC9_ANOCA	tr|A0A803TJC9|A0A803TJC9_ANOCA Dishevelled associated activator of morphogenesis 2 OS=Anolis carolinensis OX=28377 GN=DAAM2 PE=4 SV=1	1090	Anolis carolinensis	Dishevelled associated activator of morphogenesis 2
48					A0A803KF07	83.0	1082	0.0	TrEMBL	daam2	A0A803KF07_XENTR	tr|A0A803KF07|A0A803KF07_XENTR Dishevelled associated activator of morphogenesis 2 OS=Xenopus tropicalis OX=8364 GN=daam2 PE=4 SV=1	1082	Xenopus tropicalis	Dishevelled associated activator of morphogenesis 2
49					A0A6P8QFZ5	83.1	1085	0.0	TrEMBL	DAAM2	A0A6P8QFZ5_GEOSA	tr|A0A6P8QFZ5|A0A6P8QFZ5_GEOSA disheveled-associated activator of morphogenesis 2 isoform X2 OS=Geotrypetes seraphini OX=260995 GN=DAAM2 PE=4 SV=1	1072	Geotrypetes seraphini	disheveled-associated activator of morphogenesis 2 isoform X2
50					A0A1D5P556	80.2	1088	0.0	Swiss-Prot	DAAM2	DAAM2_CHICK	sp|A0A1D5P556|DAAM2_CHICK Disheveled-associated activator of morphogenesis 2 OS=Gallus gallus OX=9031 GN=DAAM2 PE=1 SV=2	1075	Gallus gallus	Disheveled-associated activator of morphogenesis 2
51					Q86T65	77.8	1079	0.0	Swiss-Prot	DAAM2	DAAM2_HUMAN	sp|Q86T65|DAAM2_HUMAN Disheveled-associated activator of morphogenesis 2 OS=Homo sapiens OX=9606 GN=DAAM2 PE=1 SV=3	1068	Homo sapiens	Disheveled-associated activator of morphogenesis 2
52					Q80U19	72.0	1141	0.0	Swiss-Prot	Daam2	DAAM2_MOUSE	sp|Q80U19|DAAM2_MOUSE Disheveled-associated activator of morphogenesis 2 OS=Mus musculus OX=10090 GN=Daam2 PE=1 SV=4	1115	Mus musculus	Disheveled-associated activator of morphogenesis 2
53					Q9Y4D1	66.3	1088	0.0	Swiss-Prot	DAAM1	DAAM1_HUMAN	sp|Q9Y4D1|DAAM1_HUMAN Disheveled-associated activator of morphogenesis 1 OS=Homo sapiens OX=9606 GN=DAAM1 PE=1 SV=2	1078	Homo sapiens	Disheveled-associated activator of morphogenesis 1
54					Q8BPM0	66.3	1088	0.0	Swiss-Prot	Daam1	DAAM1_MOUSE	sp|Q8BPM0|DAAM1_MOUSE Disheveled-associated activator of morphogenesis 1 OS=Mus musculus OX=10090 GN=Daam1 PE=1 SV=4	1077	Mus musculus	Disheveled-associated activator of morphogenesis 1
55					B0DOB5	66.2	1094	0.0	Swiss-Prot	daam1-a	DAA1A_XENLA	sp|B0DOB5|DAA1A_XENLA Disheveled-associated activator of morphogenesis 1-A OS=Xenopus laevis OX=8355 GN=daam1-a PE=2 SV=1	1081	Xenopus laevis	Disheveled-associated activator of morphogenesis 1-A
56					Q9NSV4	27.7	1039	4.26e-75	Swiss-Prot	DIAPH3	DIAP3_HUMAN	sp|Q9NSV4|DIAP3_HUMAN Protein diaphanous homolog 3 OS=Homo sapiens OX=9606 GN=DIAPH3 PE=1 SV=4	1193	Homo sapiens	Protein diaphanous homolog 3
57					O60879	29.7	952	1.66e-74	Swiss-Prot	DIAPH2	DIAP2_HUMAN	sp|O60879|DIAP2_HUMAN Protein diaphanous homolog 2 OS=Homo sapiens OX=9606 GN=DIAPH2 PE=1 SV=1	1101	Homo sapiens	Protein diaphanous homolog 2
58					Q9Z207	28.3	947	7.229999999999999e-74	Swiss-Prot	Diaph3	DIAP3_MOUSE	sp|Q9Z207|DIAP3_MOUSE Protein diaphanous homolog 3 OS=Mus musculus OX=10090 GN=Diaph3 PE=1 SV=1	1171	Mus musculus	Protein diaphanous homolog 3
59					F1LVW7	27.7	943	7.28e-74	Swiss-Prot	Diaph3	DIAP3_RAT	sp|F1LVW7|DIAP3_RAT Protein diaphanous homolog 3 OS=Rattus norvegicus OX=10116 GN=Diaph3 PE=1 SV=4	1172	Rattus norvegicus	Protein diaphanous homolog 3
60					O70566	30.4	959	1.2e-71	Swiss-Prot	Diaph2	DIAP2_MOUSE	sp|O70566|DIAP2_MOUSE Protein diaphanous homolog 2 OS=Mus musculus OX=10090 GN=Diaph2 PE=1 SV=2	1098	Mus musculus	Protein diaphanous homolog 2
61					Q8IVF7	26.7	1044	2.8299999999999998e-68	Swiss-Prot	FMNL3	FMNL3_HUMAN	sp|Q8IVF7|FMNL3_HUMAN Formin-like protein 3 OS=Homo sapiens OX=9606 GN=FMNL3 PE=1 SV=3	1028	Homo sapiens	Formin-like protein 3
62					Q6ZPF4	26.6	1061	2.46e-66	Swiss-Prot	Fmnl3	FMNL3_MOUSE	sp|Q6ZPF4|FMNL3_MOUSE Formin-like protein 3 OS=Mus musculus OX=10090 GN=Fmnl3 PE=1 SV=2	1028	Mus musculus	Formin-like protein 3
63					Q6NXC0	26.3	1031	4.7e-62	Swiss-Prot	fmnl3	FMNL3_DANRE	sp|Q6NXC0|FMNL3_DANRE Formin-like protein 3 OS=Danio rerio OX=7955 GN=fmnl3 PE=2 SV=2	1047	Danio rerio	Formin-like protein 3
64					Q96PY5	26.3	1130	4.5499999999999996e-61	Swiss-Prot	FMNL2	FMNL2_HUMAN	sp|Q96PY5|FMNL2_HUMAN Formin-like protein 2 OS=Homo sapiens OX=9606 GN=FMNL2 PE=1 SV=3	1086	Homo sapiens	Formin-like protein 2
65					F1M775	27.7	1092	1.18e-60	Swiss-Prot	Diaph1	DIAP1_RAT	sp|F1M775|DIAP1_RAT Protein diaphanous homolog 1 OS=Rattus norvegicus OX=10116 GN=Diaph1 PE=1 SV=3	1265	Rattus norvegicus	Protein diaphanous homolog 1
66					O08808	28.3	1085	4.7699999999999996e-60	Swiss-Prot	Diaph1	DIAP1_MOUSE	sp|O08808|DIAP1_MOUSE Protein diaphanous homolog 1 OS=Mus musculus OX=10090 GN=Diaph1 PE=1 SV=1	1255	Mus musculus	Protein diaphanous homolog 1
67					O60610	27.7	1102	6.39e-59	Swiss-Prot	DIAPH1	DIAP1_HUMAN	sp|O60610|DIAP1_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2	1272	Homo sapiens	Protein diaphanous homolog 1
68					P48608	27.1	1053	1.4900000000000001e-58	Swiss-Prot	dia	DIA_DROME	sp|P48608|DIA_DROME Protein diaphanous OS=Drosophila melanogaster OX=7227 GN=dia PE=2 SV=2	1091	Drosophila melanogaster	Protein diaphanous
69					A2APV2	26.0	1113	4.6000000000000005e-58	Swiss-Prot	Fmnl2	FMNL2_MOUSE	sp|A2APV2|FMNL2_MOUSE Formin-like protein 2 OS=Mus musculus OX=10090 GN=Fmnl2 PE=1 SV=2	1086	Mus musculus	Formin-like protein 2
70					Q54N00	24.6	977	5.9800000000000005e-56	Swiss-Prot	forH	FORH_DICDI	sp|Q54N00|FORH_DICDI Formin-H OS=Dictyostelium discoideum OX=44689 GN=forH PE=1 SV=1	1087	Dictyostelium discoideum	Formin-H
71					O95466	26.4	1079	2.5299999999999997e-54	Swiss-Prot	FMNL1	FMNL1_HUMAN	sp|O95466|FMNL1_HUMAN Formin-like protein 1 OS=Homo sapiens OX=9606 GN=FMNL1 PE=1 SV=3	1100	Homo sapiens	Formin-like protein 1
72					Q9JL26	25.6	1075	1.8e-53	Swiss-Prot	Fmnl1	FMNL1_MOUSE	sp|Q9JL26|FMNL1_MOUSE Formin-like protein 1 OS=Mus musculus OX=10090 GN=Fmnl1 PE=1 SV=1	1094	Mus musculus	Formin-like protein 1
73					Q54WH2	25.0	1033	5.78e-53	Swiss-Prot	forA	FORA_DICDI	sp|Q54WH2|FORA_DICDI Formin-A OS=Dictyostelium discoideum OX=44689 GN=forA PE=1 SV=1	1218	Dictyostelium discoideum	Formin-A
74					Q9VUC6	25.3	1084	2.8999999999999998e-52	Swiss-Prot	Frl	FRL_DROME	sp|Q9VUC6|FRL_DROME Formin-like protein OS=Drosophila melanogaster OX=7227 GN=Frl PE=1 SV=3	1183	Drosophila melanogaster	Formin-like protein
75					KAJ1135376.1	64.4	135	5.830000000000001e-29	Nr			KAJ1135376.1 hypothetical protein NDU88_001816 [Pleurodeles waltl]	239	Pleurodeles waltl	hypothetical protein NDU88_001816
76					A0A852PBZ6	48.1	129	2.61e-22	TrEMBL	Lasp1	A0A852PBZ6_9PASS	tr|A0A852PBZ6|A0A852PBZ6_9PASS LASP1 protein (Fragment) OS=Atrichornis clamosus OX=449594 GN=Lasp1 PE=4 SV=1	122	Atrichornis clamosus	LASP1 protein (Fragment)
77					A0A852LZP8	47.7	128	5.76e-22	TrEMBL	Lasp1_0	A0A852LZP8_9AVES	tr|A0A852LZP8|A0A852LZP8_9AVES LIM and SH3 domain protein 1 (Fragment) OS=Centropus bengalensis OX=1463675 GN=Lasp1_0 PE=4 SV=1	178	Centropus bengalensis	LIM and SH3 domain protein 1 (Fragment)
78					NXY22043.1	48.1	129	6.710000000000001e-22	Nr			NXY22043.1 LASP1 protein [Atrichornis clamosus]	122	Atrichornis clamosus	LASP1 protein
79					NXX98001.1	47.7	128	1.4800000000000002e-21	Nr			NXX98001.1 LASP1 protein [Centropus bengalensis]	178	Centropus bengalensis	LASP1 protein
80					A0A2K5CRJ0	44.2	156	3.0600000000000003e-21	TrEMBL	LASP1	A0A2K5CRJ0_AOTNA	tr|A0A2K5CRJ0|A0A2K5CRJ0_AOTNA LIM and SH3 domain protein 1 OS=Aotus nancymaae OX=37293 GN=LASP1 PE=4 SV=1	205	Aotus nancymaae	LIM and SH3 domain protein 1
81					XP_050186748.1	47.2	127	3.97e-21	Nr			XP_050186748.1 LIM and SH3 domain protein 1 isoform X2 [Myiozetetes cayanensis]	205	Myiozetetes cayanensis	LIM and SH3 domain protein 1 isoform X2
82					A0A2K5QGW1	48.5	130	6.0600000000000006e-21	TrEMBL	LASP1	A0A2K5QGW1_CEBIM	tr|A0A2K5QGW1|A0A2K5QGW1_CEBIM LIM and SH3 domain protein 1 OS=Cebus imitator OX=2715852 GN=LASP1 PE=4 SV=1	205	Cebus imitator	LIM and SH3 domain protein 1
83					F7DE33	48.5	130	6.0600000000000006e-21	TrEMBL	LASP1	F7DE33_CALJA	tr|F7DE33|F7DE33_CALJA LIM and SH3 domain protein 1 OS=Callithrix jacchus OX=9483 GN=LASP1 PE=4 SV=2	205	Callithrix jacchus	LIM and SH3 domain protein 1
84					A0A852KE35	46.1	128	6.840000000000001e-21	TrEMBL	Lasp1_0	A0A852KE35_UROIN	tr|A0A852KE35|A0A852KE35_UROIN LIM and SH3 domain protein 1 (Fragment) OS=Urocolius indicus OX=458196 GN=Lasp1_0 PE=4 SV=1	181	Urocolius indicus	LIM and SH3 domain protein 1 (Fragment)
85					XP_008152013.1	50.0	128	7.68e-21	Nr			XP_008152013.1 LIM and SH3 domain protein 1 isoform X3 [Eptesicus fuscus]	204	Eptesicus fuscus	LIM and SH3 domain protein 1 isoform X3
86					XP_036078320.1	48.8	129	7.68e-21	Nr			XP_036078320.1 LIM and SH3 domain protein 1 isoform X2 [Rousettus aegyptiacus]	204	Rousettus aegyptiacus	LIM and SH3 domain protein 1 isoform X2
87					XP_012307346.1	44.2	156	7.860000000000001e-21	Nr			XP_012307346.1 LIM and SH3 domain protein 1 isoform X2 [Aotus nancymaae]	205	Aotus nancymaae	LIM and SH3 domain protein 1 isoform X2
88					A0A0A0MXP4	48.5	130	8.52e-21	TrEMBL	LASP1	A0A0A0MXP4_PONAB	tr|A0A0A0MXP4|A0A0A0MXP4_PONAB LIM and SH3 domain protein 1 OS=Pongo abelii OX=9601 GN=LASP1 PE=4 SV=2	205	Pongo abelii	LIM and SH3 domain protein 1
89					A0A2I2YUK1	48.5	130	8.52e-21	TrEMBL	LASP1	A0A2I2YUK1_GORGO	tr|A0A2I2YUK1|A0A2I2YUK1_GORGO LIM and SH3 domain protein 1 OS=Gorilla gorilla gorilla OX=9595 GN=LASP1 PE=4 SV=1	205	Gorilla gorilla gorilla	LIM and SH3 domain protein 1
90					XP_035159196.1	48.5	130	1.56e-20	Nr			XP_035159196.1 LIM and SH3 domain protein 1 isoform X3 [Callithrix jacchus]	205	Callithrix jacchus	LIM and SH3 domain protein 1 isoform X3
91					XP_017352736.1	48.5	130	1.56e-20	Nr			XP_017352736.1 LIM and SH3 domain protein 1 isoform X2 [Cebus imitator]	205	Cebus imitator	LIM and SH3 domain protein 1 isoform X2
92					NXX75489.1	46.1	128	1.76e-20	Nr			NXX75489.1 LASP1 protein [Urocolius indicus]	181	Urocolius indicus	LASP1 protein
93					XP_018882246.1	48.5	130	2.19e-20	Nr			XP_018882246.1 LIM and SH3 domain protein 1 isoform X3 [Gorilla gorilla gorilla]	205	Gorilla gorilla gorilla	LIM and SH3 domain protein 1 isoform X3
94					A0A2K6UPC0	48.1	131	2.32e-20	TrEMBL	LASP1	A0A2K6UPC0_SAIBB	tr|A0A2K6UPC0|A0A2K6UPC0_SAIBB LIM and SH3 domain protein 1 OS=Saimiri boliviensis boliviensis OX=39432 GN=LASP1 PE=4 SV=1	204	Saimiri boliviensis boliviensis	LIM and SH3 domain protein 1
95					A0A2I3SZ05	48.5	130	2.37e-20	TrEMBL	LASP1	A0A2I3SZ05_PANTR	tr|A0A2I3SZ05|A0A2I3SZ05_PANTR LIM and SH3 domain protein 1 OS=Pan troglodytes OX=9598 GN=LASP1 PE=4 SV=1	205	Pan troglodytes	LIM and SH3 domain protein 1
96					A0A2R8ZG60	48.5	130	2.37e-20	TrEMBL	LASP1	A0A2R8ZG60_PANPA	tr|A0A2R8ZG60|A0A2R8ZG60_PANPA LIM and SH3 domain protein 1 OS=Pan paniscus OX=9597 GN=LASP1 PE=4 SV=1	205	Pan paniscus	LIM and SH3 domain protein 1
97					A0A671ENU5	48.5	130	2.37e-20	TrEMBL	LASP1	A0A671ENU5_RHIFE	tr|A0A671ENU5|A0A671ENU5_RHIFE LIM and SH3 domain protein 1 OS=Rhinolophus ferrumequinum OX=59479 GN=LASP1 PE=4 SV=1	205	Rhinolophus ferrumequinum	LIM and SH3 domain protein 1
98					XP_037849053.1	47.7	130	3.08e-20	Nr			XP_037849053.1 LIM and SH3 domain protein 1 isoform X3 [Chlorocebus sabaeus]	205	Chlorocebus sabaeus	LIM and SH3 domain protein 1 isoform X3
